Cliente;Designação;Descrição;Serviço;Banda Contratada;Banda Ativada;OS Ativação;Data OS;Tipo OS;Data Ativação;Estação;Acesso;Endereço;Cidade;UF;CEP;Estação;Acesso;Endereço B;Cidade;UF;CEP;Contato;Telefone Fixo;Telefone Móvel;Email;Valor;Previsão;Status;Último Evento;Observação
MINISTÉRIO PÚBLICO DO TRABALHO;GOAC000001;MPT - PRT18;AC;10;10;2069/2015/DC/4600;23/12/2015;Contrato;11/05/2016;GOGNA0TR001;N/A;ETR Rua T-36 - Qdr.147,  3182 - Ed. Aquarius Center - Setor Bueno;Goiânia;GO;;GOGNA0TC015;EILD Fibra;Avenida T-63 esquina com Rua C-253, quadra 572, lotes 13-17. Setor Nova Suíça;Goiânia;GO;74280-230;Vinicius Vieira de Araujo;(62) 3507-2754;;vinicius.araujo@mpt.gov.br;R$ 0,00 ;18/02/2016;operação;ativado;"11/05/16 - Circuito ativado
12/05/16 - Efetuado testes de aceitação das configurações de segurança - ICMP, SSH e SNMP
Enviado documento orientativo de chamados para o cliente."
MINISTÉRIO PÚBLICO DO TRABALHO;MAAC000004;MPT - PRT16;AC;10;0;2071/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;EILD;Av. Inácio Mourão Rangel, Lote 07 Quadra 15 Loteamento Jaracaty Renascença II;;;65076-830;Antonio José Souza Filho;(98) 2107-9360;(98) 2107-9362;antonio.jsouza@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"30/05/2016 - Aguardando fornecedor Protele informar data da fusão no POP de São Luis para agendarmos fusão com a MOB na caixa a 1km do POP.
23/05/2016 - Em agendamento de fusão a ser realizado pelo fornecedor de EILD (Mob Telecom) previsto para 25/05.
16/05/2016 - Aguardando fornecedor de EILD conseguir licenciamento para abordagem na caixa de EO Telebras que fica a 1km da estação Telebras.
09/05/2016 - Aguardando fornecedor de EILD conseguir licenciamento para abordagem na caixa de EO Telebras que fica a 1km da estação Telebras.
25/04/2016 - Definido caixa de EO a 1km do POP de São Luiz para o Fornecedor de EILD realizar as fusões, será encaminhado as coordenadas para obter prazo para agendamento das fusões.
11/04/2016 - Em análise do PPI do fornecedor de EILD, em seguida será agendado execução da obra, equipamento Telebras sendo enviado para instalação.
04/04/2016 - Aguardando PPI do fornecedor de EILD para retomar as obras, previsto PIP para até 08/04 e obras para semana do dia 11/04.
29/03/2016 - Aguardando PPI do fornecedor de EILD para retomar as obras, previsto PIP para até 01/04 e obras para semana do dia 04/04.
21/03/2016 - Em mobilização para início de obra, aguardando cronograma Fornecedor de EILD.
10/03/2013 - Em mobilização para início de obra
01/03/2016 - Em mobilização para início de obra
16/02/2016 - Aguardando PPI
30/12/2016 - Enviadas OS e VTA para Engenharia"
MINISTÉRIO PÚBLICO DO TRABALHO;MGAC000007;MPT - PRT03;AC;20;10;2084/2015/DC/4600;23/12/2015;Contrato;18/05/2016;MGBHE0PM004;N/A;Pix Espírito Santo - Rua Espírito Santo, 605;Belo Horizonte;MG;30160-030;desconhecido;Fibra Parceiro;Rua Bernardo Guimarães, 1615, Funcionários;;;30140-081;Rodrigo Morato;(31) 3304-6179;;rodrigo.rodrigues@mpt.gov.br;R$ 0,00 ;18/02/2016;operação;ativado;"30/05/16 - Enviado ao cliente, Termo orientativo para abertura de chamado, bem como documento de teste de banda.
18/05/2016 - Circuito ativado"
MINISTÉRIO PÚBLICO DO TRABALHO;MSAC000001;MPT - PRT24;AC;10;0;2063/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;EILD;Rua Pimenta Bueno n 139 Amambai;;;79005-020;Edgar Nakazato;(67) 3358-3073;;edgar.nakazato@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"06/06/2016 - Aguardando cronograma da Oi, pendência no equipamento Oi instalado no cliente MPT (Acesso concluído)
30/05/2016 - Em teste do CPE
16/05/2016 - Em teste do CPE.
09/05/2016 - Em teste do CPE.
02/05/2016 - Em obra, programado testes iniciais do CPE para 04/05.
25/04/2016 - Instalação do equipamento Telebras/Oi para 28/04, previsto handover para 29/04.
11/04/2016 - Instalação Ponta A e Ponta B realizada. Aguardando envio de PDI e teste RFC, 
08/04/2016 - Instalação Ponta A e Ponta B realizada. Aguardando envio de PDI e teste RFC.
04/04/2016 - Aguardando PPI do fornecedor de EILD.
29/03/2016 - Aguardando PPI do fornecedor de EILD.
21/03/2016 - Vistoria  agendade para 24/03, em seguida será envaido PPI e cronograma de obra.
10/03/2016 - Aguardando cronograma de vistoria do fornecedor de EILD.
01/03/2016 - Aguardando cronograma de vistoria
16/02/2016 - Aguardando cronograma de vistoria
30/12/2016 - Enviadas OS e VTA para Engenharia"
MINISTÉRIO PÚBLICO DO TRABALHO;MTAC000005;MPT - PRT23;AC;10;0;2064/2015/DC/4600;23/12/2015;Contrato;;MTCBA0PP001;N/A;PoP Coxipó - Avenida Das Torres, Bairro São Sebastião;Cuiabá;MT;;desconhecido;EILD Fibra;Rua Dez de Março, esquina com a Rua R, s/n - atrás do Hospital São Mateus, Jardim Aclimação;;;78050-258;Flávio Aparecido Ângelo;(65) 3613 9105;;flavio.angelo@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;agendado;07/06/16 - Agendado para 09/06/16 - 14h
MINISTÉRIO PÚBLICO DO TRABALHO;PAAC000007;MPT - PRT08;AC;10;0;2079/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;EILD;Rua dos Mundurucus n 1794 Batista Campos;;;66035-360;Elizabeth Melo e Silva Lobato;(91) 3217-7550;;elizabeth.lobato@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"30/05/2016 - Aguardando fornecedor de EILD conseguir licenciamento para realizar lançamento da rede até o cliente e até a estação Telebras
23/05/2016 - Aguardando fornecedor de EILD conseguir licenciamento para realizar lançamento da rede até o cliente e até a estação Telebras
16/05/2016 - Alterado ponto do MPT, aguardando entrega do PPI com o novo endereço do cliente pelo fornecedor de EILD, previsto para até 11/05.
09/05/2016 - Alterado ponto do MPT, aguardando entrega do PPI com o novo endereço do cliente pelo fornecedor de EILD, previsto para até 11/05.
25/04/2016 - Agendado instalação dos equipamentos Telebras/Mob para 29/04.
11/04/2016 - Em análise do PPI pela Eng. de acesso, em seguida será agendado obra, equipamento Telebras em transporte.
04/04/2016 - Aguardando PPI do fornecedor de EILD, previsto para até 04/04. Obra será iniciada em seguida previsto para semana de 11/04.
29/03/2016 - Aguardando PPI do fornecedor de EILD, previsto para até 01/04. Obra será iniciada em seguida previsto para semana de 04/04.
21/03/2016 - Aguardando PPI do fornecedor de EILD.
10/03/2016 - Fornecedor de EILD solicitou nova vistoria na estação Telebras, agendado para 16/03.
01/03/2016 - Em mobilização para início de obra.
16/02/2016 - Aguardando cronograma de vistoria
30/12/2016 - Enviadas OS e VTA para Engenharia"
MINISTÉRIO PÚBLICO DO TRABALHO;PBAC000001;MPT - PRT13;AC;10;10;2074/2015/DC/4600;23/12/2015;Contrato;11/05/2016;PBJPA0PP001;N/A;PoP - Mussure:  Rua Avany Viana Machado. s/n. Mussure II. Conjunto Costa e Silva;João Pessoa;PB;;PBJPA0TC005;EILD Fibra;Rua Almirante Barroso n 234;João Pessoa;PB;58013-123;Pedro de Figueiredo Lima Neto;(83) 3612-3134;;pedroflima@mpt.gov.br;R$ 0,00 ;18/02/2016;operação;ativado;"12/05/16 - Enviado documento de abertura de chamados para o cliente.
- Pendente teste de SSH, SNMP e ICMP que será agendado futuramente pelo cliente
11/05/16 - Circuito Ativado"
MINISTÉRIO PÚBLICO DO TRABALHO;PEAC000005;MPT - PRT06;AC;10;0;2081/2015/DC/4600;23/12/2015;Contrato;;PERCE0PM006;N/A;PoP Estação Metrô: Rua Floriana Peixoto com Rua São João, Bairro São José;Recife;PE;50020-150;desconhecido;EILD Fibra;Rua Quarenta e Oito n. 600 Espinheiro;;;52050-380;Márcia Parga;(81) 2101-3209;;marcia.parga@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;agendado;"06/06/16 - Circuito reagendado para 08/06/16 - 09h
13/05/16 - Circuito reagendado para 16/05/16 - 09h
09/05/16 - Agendado teste para 12/02/16 - 9h"
MINISTÉRIO PÚBLICO DO TRABALHO;PIAC000005;MPT - PRT22;AC;10;10;2065/2015/DC/4600;23/12/2015;Contrato;13/05/2016;PITSA0PP001;N/A;Av. Henry Wall de Carvalho, 4282, Parque São João;Teresina;PI;64020-720;PITSA0TC006;EILD Fibra;Av Miguel Rosa n 2862-N Ed. Humberto Cavalcante Centro;Teresina;PI;64000-480;Waldery Gomes;(86) 4009-6400;;waldery.oliveira@mpt.gov.br;R$ 0,00 ;18/02/2016;operação;ativado;"13/05/16 - Circuito ativado
- Aguardando MPT agendar os testes de segurança no RTCE (SNMP, ICMP e SSH)
Enviado documento orientativo para abertura de chamados"
MINISTÉRIO PÚBLICO DO TRABALHO;PRAC000005;MPT - PRT09;AC;20;0;2078/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;EILD;Av Vicente Machado n 84 Centro;;;80420-010;Éder Carlos Fassbinder;(41) 3304-9033;;eder.fassbinder@mpt.gov.br;R$ 0,00 ;18/02/2016;cancelado;cancelado;18/02/206 - Recebida OS de Cancelamento de Ativação
MINISTÉRIO PÚBLICO DO TRABALHO;RJAC000010;MPT - PRT01;AC;20;0;2086/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;Av. Churchill n. 94 10º andar Centro;;;20020-050;André Ricardo Pereira Mattos;(21) 2533-9168;;andre.mattos@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"30/05/2016 - Problema de FO no trecho entre POP Correios e Teleporto, encaminhado para Operação.
23/05/2016 - Agendado instalação do agregador AmericaNet no POP correios para 27/05.
16/05/2016 - Agendado instalação do agregador da Americanet no POP correios para 20/05, atividade irá afetar no ccto ativo do GAL.
09/05/2016 - Agendando janela com operação para Americanet instalar agregador no POP Correios, atividade irá afetar temporariamente o cliente ativo (GAL).
25/04/2016 - Aguardando cronograma de obra fornecedor de EILD, previsto para até 26/04.
11/04/2016 - Aguardando PPI da America Net, em seguida será instalado sw no POP Correios, ponta cliente em obra.
04/04/2016 - Aguardando PPI da America Net, em seguida será instalado sw no POP Correios, ponta cliente em obra.
21/03/2016 - Aguardando PPI da America Net, em seguida será instalado sw no POP Correios, ponta cliente em obra.
10/03/2016 - Em obra, instalado rádio na ponta cliente MPT, aguardando cronograma do fornecedor de EILD para instalação do equipamento na estação Telebras.
16/02/2016 - Em obra
30/12/2016 - Enviadas OS e VTA para Engenharia"
MINISTÉRIO PÚBLICO DO TRABALHO;RNAC000006;MPT - PRT21;AC;10;10;2066/2015/DC/4600;23/12/2015;Contrato;12/05/2016;RNNTL0PP001;N/A;Av. Amintas Barros, 160, Bom Pastor, Natal II;Natal;RN;59075-250;desconhecido;EILD Fibra;Rua Dr. Poty Nóbrega n 1941 Lagoa Nova;;;59056-180;Kergimar Lima de Souza;(84) 4006-2876;(84) 4006-2899;kergimar.souza@mpt.gov.br;R$ 0,00 ;18/02/2016;operação;ativado;"12/05/16 - circuito Ativado
- enviado documento orientativo para abertura de chamados
- Pendente pelo cliente validação das configurações de segurança do RTCE (SSH, ICMP, SNMP)"
MINISTÉRIO PÚBLICO DO TRABALHO;ROAC000003;MPT - PRT14;AC;10;10;2073/2015/DC/4600;23/12/2015;Contrato;16/05/2016;ROPVO0PM002;N/A;AV: Farquar - CPA - Centro Politico Admistrativo;Porto Velho;RO;;ROPVO0TC013;EILD Fibra;Av. Presidente Dutra, s/n, lote urbano nº 187, quadra 107, Setor 1 entre rua José Camacho e rua Calama, Bairro Pedrinhas;Porto Velho;RO;76801-477;Aloisio Spadeto;(69) 3224-1642;;aloisio.spadeto@mpt.gov.br;R$ 0,00 ;18/02/2016;operação;ativado;"16/05/16 - Circuito Ativado.
Obs: Cliente relatou que evidenciou apenas 10% no upload da banda contratada. Mesmo assim, validou a atividade.

- Aguardando cliente agendar teste de segurança do RTCE (ICMP, SSH e SNMP)"
MINISTÉRIO PÚBLICO DO TRABALHO;RSAC000011;MPT - PRT04;AC;20;0;2083/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;Fibra Parceiro;Rua Ramiro Barcelos n 104 Floresta;;;90035-000;Luiz Garcia;(51) 3284-3080;(51) 3284-3042;luiz.garcia@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"30/05/2016 - Em teste de CPE
23/05/2016 - Agendado execução do jumper na Procergs para 24/05.
16/05/2016 - Vistoria junto a PROCERGS agendada para 17/05.
09/05/2016 - Aguardando crongrama do fornecedor de EILD para realização dos testes, em seguida será realizado handover. (previsto para até 06/05)
02/05/2016 - Aguardando crongrama do fornecedor de EILD para realização dos testes, em seguida será realizado handover. (previsto para até 06/05)
25/04/2016 - Em obra do acesso, previsto conclusão para 29/04.
11/04/2016 - Em obra, aguardando cronograma de conclusão do fornecedor de EILD, ponta Telebras obra concluída.
04/04/2016 - Em obra, previsto conclusão para 08/04, CPE sendo enviado previsto instalação para semana de 11/04.
21/03/2016 - Em mobilização de início de obra, previsto início para 24/04, conclusão para  28/03. Equipamento Telebras sendo enviado.
16/03/2016 - Obra iniciada em 16/03, previsto conclusão até 24/03.
10/03/2016 - Em mobilização para início de obra, aguardando cronograma do fornecedor de EILD.
01/03/2016 - Aguardando PPI
16/02/2016 - Aguardando cronograma de vistoria
30/12/2016 - Enviadas OS e VTA para Engenharia"
MINISTÉRIO PÚBLICO DO TRABALHO;SCAC000001;MPT - PRT12;AC;20;0;2075/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;EILD;Rua Paschoal Apóstolo Pítsica, 4876 - Centro Executivo Luiz Elias Daux, Torre 2, Bairro Agronômica;;;88025-025;Rogerio Castellar Monteiro;(48) 3251-9920;(48) 3251-9928;rogerio.monteiro@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"06/06/2016 - Pendência ELS eles exigem que seja lançado um novo cabo para atendimento ao cliente MPT.
30/05/2016 - Aguardando ELS liberar acesso para execução do jumper.
23/05/2016 - Aguardando ELS informar data para equipe Oi realizar vistoria na ELS Sede em Florianópolis."
MINISTÉRIO PÚBLICO DO TRABALHO;SEAC000001;MPT - PRT20;AC;10;0;2067/2015/DC/4600;23/12/2015;Contrato;;BASDR0PP002;N/A;PoP Matatu - Rua Luiz Anselmo s/n, Matatu;Salvador;BA;;desconhecido;EILD Fibra;Av. Desembargador Maynard, n. 72 Bairro Cirurgia;;;49055-210;Heli Henriques Alcantara Nascimento;(79) 3226-9100;;heli.nascimento@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;agendado;19/05/16 - Cliente solicitou agendamento para 23/05 às 11h
MINISTÉRIO PÚBLICO DO TRABALHO;SPAC000007;MPT - PRT15;AC;20;0;2072/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;EILD;Rua Umbú n 291 Alphaville;;;13098-325;Neivaldo Aparecido de Oliveira;(19) 3796-9710;;neivaldo.oliveira@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"30/05/2016 - Aguardando teste de RFC do fornecedor de EILD, previsto para 27/05.
23/05/2016 - Aguardando teste de RFC do fornecedor de EILD, previsto para 27/05.
16/05/2016 - Aguardando teste de RFC do fornecedor de EILD.
09/05/2016 - Aguardando teste de RFC do fornecedor de EILD.
25/04/2016 - Aguardando teste de RFC do fornecedor de EILD, previsto handover até 02/05.
11/04/2016 -  Em mobilização para início de obra, previsto para semana de 11/04.
04/04/2016 - Em mobilização para início de obra, previsto para semana de 11/04.
21/03/2016 - Em mobiilização para início de obra, aguardando cronograma do fornecedor de EILD.
17/03/2016 - Aguardando cronograma do fornecedor de EILD (Vogel) para inicio do lançamento da rede interna no cliente MPT."
MINISTÉRIO PÚBLICO DO TRABALHO;SPAC000008;MPT - PRT02;AC;20;0;2085/2015/DC/4600;23/12/2015;Contrato;;desconhecido;N/A;;;;;desconhecido;EILD;Rua Cubatão, 322 Bairro Paraíso;;;04013-001;Moisés Ricardo Ramos;(11) 3246-7090;;moises.ramos@mpt.gov.br;R$ 0,00 ;18/02/2016;instalação;pend. implantação;"30/05/2016 - Aguardando fornecedor enviar ofício que informa recuperação da calçada após execução do MD, e número do protocolo junto a prefeitura para obtenção do alvará.
23/05/2016 - Aguardando fornecedor enviar ofício que informa recuperação da calçada após execução do MD, e número do protocolo junto a prefeitura para obtenção do alvará.
16/05/2016 - Aguardando fornecedor enviar ofício que informa recuperação da calçada após execução do MD, e número do protocolo junto a prefeitura para obtenção do alvará.
09/05/2016 - Aguardando fornecedor enviar ofício que informa recuperação da calçada após execução do MD, e número do protocolo junto a prefeitura para obtenção do alvará.
25/04/2016 - Fornecedor de EILD (Vogel) irá enviar até 26/04 cronograma da obra com dados da equipe e documento informando que obra da calçada será reurbanizada após obra.
18/04/2016 - Em mobilização para início de obra."
MMA ACESSORIOS E SERVICOS DE INFORMATICA LTDA - EPP;BABL000004;MMA INFORMATICA;BL;2000;2000;0013/2016/4600;06/01/2016;Contrato;14/04/2016;BAGMG0PP001;Fibra óptica Cliente;CLIENTE BUSCARÁ EM FIBRA NO POP DE GOVERNADOR MANGABEIRA - BA;Governador Mangabeira;BA;;BAGMG0PC005;Fibra óptica Cliente;;Governador Mangabeira;BA;;Maurício Mello de Andrade;(75) 3311-6066;(75) 99858-5888;mauricio@mma.net.br;R$ 48.000,00 ;08/03/2016;operação;pend. implantação;07/06/2016 - Ampliação de banda de 2 para 3 Gbps
MMA ACESSORIOS E SERVICOS DE INFORMATICA LTDA - EPP;BAP2000001;MMA INFORMATICA - GOVERNADOR MANGABEIRA-BARUERI;P2;4000;0;0012/2016/DC/4600;06/01/2016;Contrato;;BAGMG0PP001;Fibra óptica Cliente;POP DE GOVERNADOR MANGABEIRA;Governador Mangabeira;BA;;SPBRE0PM002;Fibra óptica Cliente;PTT - BARUERI (SP);Barueri;SP;;Maurício Mello de Andrade;(75) 3311-6066;(75) 99858-5888;mauricio@mma.net.br;R$ 44.000,00 ;11/04/2016;instalação;pend. implantação;"07/06/2016 - Será negociado com o cliente ativação para início de julho (ampliação de banda na Alog Barueri) - definido em reunião com o diretor comercial em 05/04/2016.
31/05/2016 - Será negociado com o cliente ativação para início de julho (ampliação de banda na Alog Barueri) - definido em reunião com o diretor comercial em 05/04/2016.
03/05/2016 - Será negociado com o cliente ativação para início de julho (ampliação de banda na Alog Barueri) - definido em reunião com o diretor comercial em 05/04/2016.
26/04/2016 - Será negociado com o cliente ativação para início de julho (ampliação de banda na Alog Barueri) - definido em reunião com o diretor comercial em 05/04/2016.
19/04/2016 - Será negociado com o cliente ativação para início de julho (ampliação de banda na Alog Barueri) - definido em reunião com o diretor comercial em 05/04/2016.
12/04/2016 - Será negociado com o cliente ativação para início de julho (ampliação de banda na Alog Barueri) - definido em reunião com o diretor comercial em 05/04/2016."
MPOG  MINISTÉRIO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO;DFAC000006;SLTI-MPOG;AC;120;55;77 /2012/DC/4600;29/08/2012;Contrato;20/09/2012;DFBSA0PM007;N/A;;Brasília;DF;;DFBSA0PM007;Fibra óptica TELEBRAS;SEPN 516, Bloco D, Lote 8  (SOF  Secretaria de Orçamento Federal);Brasília;DF;;Wellington Francisco Pinheiro de Araújo;(61) 2020-1622;;wellington.araujo@planejamento.gov.br;R$ 14.799,23 ;00/00/0000;operação;downgrade; 
MPOG  MINISTÉRIO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO;DFCI000002;MPOG - SERPRO SEDE-SERPRO REGIONAL;CI;0;0;0964/2014/DC/4600;07/04/2014;Contrato;01/04/2014;desconhecido;Fibra óptica TELEBRAS;Serpro Regional - SGAN Av.L-2 Norte Quadra 601  Módulo G;;;70830-900;desconhecido;Fibra óptica TELEBRAS;"Sepro Sede - SGAN Quadra 601 Módulo ""V""";;;70836-900;Silvio César da Silva Lima;(61) 2020-1440;;silvio.lima@planejamento.gov.br;R$ 0,00 ;00/00/0000;operação;ativado;Circuito entregue pelo Silvio Vilares ao cliente
MPOG  MINISTÉRIO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO;DFCI000004;MPOG - GRANJA DO TORTO-SAAN 1;CI;0;0;01234/2014/DC/4600;29/07/2014;Contrato;03/08/2014;desconhecido;Fibra óptica TELEBRAS;Inicio do Trecho - Granja do Torto;;;;desconhecido;Fibra óptica TELEBRAS;Fim do Trecho - SAAN;;;;Silvio César da Silva Lima;(61) 2020-1440;;silvio.lima@planejamento.gov.br;R$ 0,00 ;00/00/0000;operação;ativado;
MPOG  MINISTÉRIO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO;DFCI000005;MPOG - GRANJA DO TORTO-SAAN 2;CI;0;0;01242/2014/DC/4600;31/07/2014;Contrato;03/08/2014;desconhecido;N/A;Inicio do Trecho - Granja do Torto;;;;desconhecido;Fibra óptica TELEBRAS;Fim do Trecho - SAAN;;;;Silvio César da Silva Lima;(61) 2020-1440;;silvio.lima@planejamento.gov.br;R$ 0,00 ;00/00/0000;operação;ativado;
MULTLINK INFORMÁTICA E TEL. LTDA;PIBL000005;MULTLINK TELECOM;BL;1000;1000;0161/2016/DC/4600;10/05/2016;Contrato;30/05/2016;PITSA0PP001;Fibra óptica Cliente;POP Teresina;Teresina;PI;;desconhecido;Fibra óptica Cliente;;;;;Marcilio Ricardo da Costa Soares;(86) 3211-9307;(86) 99472-6188 / 98827-9817;suporte@multlink.net.br;R$ 50.000,00 ;01/06/2016;operação;ativado;30/05/2016 - Cliente Ativado e com o aceite do cliente.
N V SOUSA - ME;MABL000020;N V SOUSA;BL;200;200;01759/2015/DC/4600;02/07/2015;Contrato;18/08/2015;MABDC0PP001;N/A;POP de Barra do Corda - MA;Barra do Corda;MA;;desconhecido;Fibra óptica Cliente;;;;;André Luiz N Lopes;(99) 3643-1735;(99) 9919-17211;nepomuceno@bol.com.br;R$ 15.543,00 ;05/08/2015;operação;upgrade;02/05/2016 - Ampliação de 100 para 200 Mbps.
NAJA TELECOMUNICAÇÕES LTDA-ME;RSP2000001;NAJA TELECOMUNICAÇÕES - CAXIAS DO SUL-BARUERI;P2;1000;0;0157/2016/DC/4600;02/03/2016;Contrato;;RSCSL0TR001;Fibra óptica Cliente;EA Caxias do Sul;Caxias do Sul;RS;;SPBRE0PM002;Fibra óptica TELEBRAS;POP ALOG;Barueri;SP;;Saulo Fonseca;(54) 3279-3700;(54) 9651-2885;saulo@najatelecom.com.br;R$ 14.800,00 ;29/03/2016;instalação;pend. cliente;"07/06/2016 - Aguardando projeto de abordagem cliente desde 08/03. Realizado jumper na ponta da ALOG.
31/05/2016 - Aguardando projeto de abordagem cliente desde 08/03. Realizado jumper na ponta da ALOG.
23/05/2016 - Aguardando projeto de abordagem cliente desde 08/03. Realizado jumper na ponta da ALOG.
11/05/2016 - Aguardando projeto de abordagem cliente desde 08/03. Agendado jumper na ALOG para 17/05.
03/05/2016 - Aguardando projeto de abordagem cliente desde 08/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 08/03.
19/04/2016 - Aguardando projeto de abordagem cliente
12/04/2016 - Aguardando projeto de abordagem cliente"
NEOLOG TECNOLOGIA LTDA.;MABL000027;NEOLOG TECNOLOGIA;BL;600;600;01492/2014/DC/4600;19/01/2015;Contrato;10/02/2015;MAGJU0PP001;N/A;Cliente buscará o sinal em Fibra Óptica na caixa R2 do POP de Grajaú  MA;Grajaú;MA;;desconhecido;Fibra óptica TELEBRAS;Cliente buscará o sinal em Fibra Óptica na caixa R2 do POP de Grajaú;;;;José Ribamar;(99)3532-7000;(99) 99157-3004;"riba.barros@gmail.com; ribamar@neolog.net.br";R$ 37.794,00 ;00/00/0000;operação;upgrade;"10/03/2016 - Banda ampliada.
09/03/2016 - Ampliação da banda de 400 para 600 Mbps."
NET BARRETOS TECNOLOGIA - ME;SPBL000005;NET BARRETOS;BL;200;0;0186/2012/DC/4600;13/12/2012;Contrato;12/08/2013;SPBRS0TR001;N/A;Entrega do circuito na ETR Barretos;Barretos;SP;;SPBRS0TR001;Rádio TELEBRAS;;Barretos;SP;;Fernando Henrique;(17) 3321- 0030;(17) 8135-1535;fernando@netbarretos.com.br;R$ 20.916,00 ;00/00/0000;desativado;desativado;"30/07 - Cliente desativado.
26/06 - enviado para o NOC Ocorrência de desativação
Este circuito possui rádio telebras

24/06 - Recebido Os de Desativação."
NET BRASILIA COMUNICAÇÃO E MULTIMIDIA LT;DFBL000008;VS LINK GUARÁ;BL;0;0;;00/00/0000;Contrato;16/07/2012;DFBSA0PP001;Rádio Cliente;;Brasília;DF;;DFBSA0PP001;Rádio Cliente;;Brasília;DF;;;;;;R$ 0,00 ;00/00/0000;desativado;desativado;
Net Store Tecnologia;TOBL000031;NET STORE;BL;10;0;0997/2014/DC/4600;05/05/2014;Contrato;;desconhecido;Rádio TELEBRAS;;;;;desconhecido;Rádio TELEBRAS;;;;;;;;;R$ 2.300,00 ;00/00/0000;cancelado;cancelado;OS Cancelamento - 01417/2013/DC/4600
NET SUL INFORMATICA E SERVICOS DE PROVEDOR LTDA - ME;PABL000015;NET SUL INFORMATICA;BL;300;300;01571/2015/DC/4740;09/03/2015;Contrato;27/03/2015;PAJUN0PP002;N/A;POP Prodepa de Jacundá;Jacundá;PA;;PAJUN0PC002;Fibra óptica Cliente;POP Prodepa de Jacundá PAJUN0PP002;Jacundá;PA;;Adelmo Ataides;(94) 3345-1530;(94) 99100-0111;netsul@netsulonline.com.br;R$ 23.400,00 ;00/00/0000;operação;upgrade;12/04/2016 - Banda ampliada para 300 Mbps.
NET-BLADE COMUNICAÇÕES LTDA - ME;GOBL000010;NET BLADE;BL;150;150;046/2012/DC/4600;27/03/2012;Contrato;21/06/2012;GOIUB0TR001;N/A;;Itumbiara;GO;;GOIUB0TR005;Rádio TELEBRAS;R. Bauru , 290, Bairro Novo Horizonte;Itumbiara;GO;;Kleber Nascimento Ribeiro;(64) 3404-5520;(64) 9242-4505;kribeiro_netmaxi@hotmail.com;R$ 23.410,00 ;00/00/0000;operação;downgrade;29/01 - Redução de 200 para 150 Mbps.
Neuber Modesto Fontoura;DFBL000011;NEUBER GAMA;BL;0;0;;28/03/2013;Contrato;;desconhecido;Rádio TELEBRAS;;;;;desconhecido;Rádio TELEBRAS;;;;;;;;;R$ 0,00 ;00/00/0000;cancelado;cancelado;
Neuber Modesto Fontoura;GOBL000020;NEUBER ANÁPOLIS;BL;0;0;;26/02/2013;Contrato;;GOANS0TR003;Rádio TELEBRAS;;Anápolis;GO;;GOANS0TR003;Rádio TELEBRAS;;Anápolis;GO;;;;;;R$ 0,00 ;00/00/0000;cancelado;cancelado;
NEXUS INFORMATICA;RSBL000004;NEXUS INFORMATICA SERV. INTERNET;BL;400;0;0758/2013/DC/4600;30/10/2013;Contrato;26/11/2013;RSSIV0PP001;Fibra Óptica Cliente;;Santana do Livramento;RS;;RSSIV0PP001;Fibra Óptica Cliente;;Santana do Livramento;RS;;;;;;R$ 0,00 ;00/00/0000;desativado;desativado;
